"TABLE_NAME";"INDEX_NAME";"COLUMNS";"INDEX_TYPE"
"aluno";"idx_aluno_dt_cad";"alu_dt_cad";"BTREE"
"aluno";"idx_aluno_inep";"alu_inep";"BTREE"
"aluno";"idx_aluno_nome";"alu_nome";"BTREE"
"aluno";"idx_aluno_ra";"alu_ra";"BTREE"
"aluno";"PRIMARY";"alu_id";"BTREE"
"controle_fases_sondagem";"controle_fases_sondagem_aluno_ano_unique";"id_aluno,ano";"BTREE"
"controle_fases_sondagem";"idx_controle_ano";"ano";"BTREE"
"controle_fases_sondagem";"idx_controle_fases";"id_aluno,ano,cont_I,fase_cont1,fase_cont2";"BTREE"
"controle_fases_sondagem";"idx_controle_status";"cont_I,fase_cont1,fase_cont2,fase_final";"BTREE"
"controle_fases_sondagem";"idx_flag_c1";"flag_c1";"BTREE"
"controle_fases_sondagem";"idx_flag_c2";"flag_c2";"BTREE"
"controle_fases_sondagem";"idx_flag_final";"flag_final";"BTREE"
"controle_fases_sondagem";"idx_flag_inicial";"flag_inicial";"BTREE"
"controle_fases_sondagem";"PRIMARY";"id";"BTREE"
"turma";"idx_turma_cod_valor";"cod_valor";"BTREE"
"turma";"idx_turma_funcionario";"fk_cod_func";"BTREE"
"turma";"PRIMARY";"id_turma";"BTREE"
