"id_hab_com_lin";"desc_hab_com_lin";"cod_pro_com_lin";"desc_pro_com_lin"
"1";"Amplia gradativamente seu vocabulário?";"ECM01";"1, 2, 3... acerte uma vez"
"1";"Amplia gradativamente seu vocabulário?";"ECM02";"A mágica da gentileza"
"1";"Amplia gradativamente seu vocabulário?";"ECM03";"Ache e junte"
"1";"Amplia gradativamente seu vocabulário?";"ECM04";" Expressão ilustrada"
"1";"Amplia gradativamente seu vocabulário?";"ECM06";"Onde encaixa?"
"1";"Amplia gradativamente seu vocabulário?";"ECM07";"Que animal é esse?"
"1";"Amplia gradativamente seu vocabulário?";"ECM08";"ECM08 - Vivências do cotidiano"
"2";"Amplia gradativamente sua comunicação social?";"ECM01";"1, 2, 3... acerte uma vez"
"2";"Amplia gradativamente sua comunicação social?";"ECM02";"A mágica da gentileza"
"2";"Amplia gradativamente sua comunicação social?";"ECM04";" Expressão ilustrada"
"2";"Amplia gradativamente sua comunicação social?";"ECM05";"Minha rede de ajuda"
"2";"Amplia gradativamente sua comunicação social?";"ECM07";"Que animal é esse?"
"2";"Amplia gradativamente sua comunicação social?";"ECM08";"ECM08 - Vivências do cotidiano"
"3";"Apresenta entonação vocal, com boa articulação e ritmo adequado?";"ECM08";"ECM08 - Vivências do cotidiano"
"4";"Ativa conhecimentos prévios em situações de novas aprendizagens?";"ECM01";"1, 2, 3... acerte uma vez"
"4";"Ativa conhecimentos prévios em situações de novas aprendizagens?";"ECM02";"A mágica da gentileza"
"4";"Ativa conhecimentos prévios em situações de novas aprendizagens?";"ECM03";"Ache e junte"
"4";"Ativa conhecimentos prévios em situações de novas aprendizagens?";"ECM04";" Expressão ilustrada"
"4";"Ativa conhecimentos prévios em situações de novas aprendizagens?";"ECM05";"Minha rede de ajuda"
"4";"Ativa conhecimentos prévios em situações de novas aprendizagens?";"ECM06";"Onde encaixa?"
"4";"Ativa conhecimentos prévios em situações de novas aprendizagens?";"ECM07";"Que animal é esse?"
"4";"Ativa conhecimentos prévios em situações de novas aprendizagens?";"ECM08";"ECM08 - Vivências do cotidiano"
"5";"Categoriza diferentes elementos de acordo com critérios preestabelecidos?";"ECM03";"Ache e junte"
"5";"Categoriza diferentes elementos de acordo com critérios preestabelecidos?";"ECM06";"Onde encaixa?"
"6";"Compreende e utiliza comunicação alternativa para se comunicar?";"ECM03";"Ache e junte"
"6";"Compreende e utiliza comunicação alternativa para se comunicar?";"ECM04";" Expressão ilustrada"
"6";"Compreende e utiliza comunicação alternativa para se comunicar?";"ECM05";"Minha rede de ajuda"
"6";"Compreende e utiliza comunicação alternativa para se comunicar?";"ECM06";"Onde encaixa?"
"6";"Compreende e utiliza comunicação alternativa para se comunicar?";"ECM07";"Que animal é esse?"
"7";"Compreende que pode receber ajuda de pessoas conhecidas que estão ao seu redor?";"ECM04";" Expressão ilustrada"
"7";"Compreende que pode receber ajuda de pessoas conhecidas que estão ao seu redor?";"ECM05";"Minha rede de ajuda"
"8";"Comunica fatos, acontecimentos e ações de seu cotidiano de modo compreensível, ainda que não seja por meio da linguagem verbal?";"ECM04";" Expressão ilustrada"
"8";"Comunica fatos, acontecimentos e ações de seu cotidiano de modo compreensível, ainda que não seja por meio da linguagem verbal?";"ECM05";"Minha rede de ajuda"
"8";"Comunica fatos, acontecimentos e ações de seu cotidiano de modo compreensível, ainda que não seja por meio da linguagem verbal?";"ECM08";"ECM08 - Vivências do cotidiano"
